timestamp,symbol,signal_type,direction,entry_price,exit_price,quantity,stop_loss,trailing_stop,target,confidence,reasoning,pnl,mode,market_regime,sector_regime,mtf_3m,mtf_15m,mtf_1h,kronos_direction,kronos_pred_return,kronos_aligned
2026-07-01 09:32:46,ICICIPRULI,REV-VWAP-BREACH,SELL,487.50,488.90,2,489.35,489.38,483.65,93,"Step 1: Viability - Price 487.5 is below VWAP 488.64, RSI 45.74 > 30, ADX 26.03 > 22. All SELL rules pass. BUY rules fail (price below VWAP). Direction is SELL. Step 2: Volume - Volume spike 1.12, adequate for trending move. Step 3: Candles - Last 5 bars show a slight downtrend (-0.25%), consistent with SELL. Step 4: MTF - 3-min, 15-min, 1-hour all BEARISH, supporting SELL. Step 5: Kronos predicts a 0.51% up move over 30 min, which contradicts SELL, but primary rules take precedence; Kronos range 0.40% is moderate, so no adjustment to risk levels. Step 6: Analog setups show 40% win rate for similar SELLs, with mixed results; this lowers conviction. Step 7: Risk levels - ATR is 1.25, so 1.5x ATR = 1.875, stop_loss_percent = 1.875/487.5*100 ≈ 0.38%. Target must be >= 1.9x SL = 0.72%, set to 0.79% as a reasonable multiple. Confidence set to 65 due to Kronos conflict and poor analog history, despite viable SELL setup. | Kronos: ratio=0.72 CONFLICT range=0.40%",-2.80,LIVE,NEUTRAL,NIFTY FINANCIAL SERVICES=NEUTRAL,BEARISH,BEARISH,BEARISH,BUY,0.287,0
2026-07-01 09:38:47,MPHASIS,ENTRY-SHORT,SELL,2162.40,2165.10,1,2172.13,2172.22,2142.07,86,"Step 1 Viability: Price 2162.4 below VWAP 2176.36, RSI 46.36 > 30, ADX 31.89 > 22 -> SELL viable. BUY not viable (price below VWAP). Step 2 Volume: Volume spike 0.45, below 0.5 for trending but ADX strong, acceptable. Step 3 Candles: Last 5 bars show consistent lower highs and lower closes, moving with SELL direction. Step 4 MTF: 15-min and 1-hour both BEARISH, aligning with SELL. Step 5 Kronos: Forecast range 0.19% tight, keep stop tight. Step 6 Analog: 40% win rate, mixed but recent similar setups lost, so lower confidence. Step 7 Risk: ATR 6.55, ATR% = 6.55/2162.4 = 0.303%, SL = 1.5*0.303% = 0.45%, target >= 1.9*0.45% = 0.86%. Set target 0.94%. | Kronos: ratio=1.26 ALIGN range=0.19%",-2.70,LIVE,NEUTRAL,NIFTY IT=NEUTRAL,BEARISH,BEARISH,BEARISH,SELL,-0.104,1
2026-07-01 09:45:23,ZYDUSLIFE,KRONOS-EXIT,SELL,1111.50,1118.00,1,1116.50,1116.54,1101.05,85,"Step 1 Viability: Price 1111.5 is below VWAP 1120.29, RSI 39.87 > 30, ADX 22.77 > 22. All SELL viability rules pass. BUY rules fail because price is below VWAP. Step 2 Volume: Volume spike 0.63 is moderate, not a strong breakout but acceptable. Step 3 Candles: Last 5 candles show consistent bearish movement with lower highs and lower lows, supporting SELL. Step 4 MTF: 3-min, 15-min, and 1-hour all bearish, confirming alignment. Step 5 Kronos: Forecast range 0.43% is moderate, suggesting normal volatility; no need to widen targets. Step 6 Analog: 60% win rate with small average loss, not a strong deterrent. Step 7 Risk: ATR is 3.36, so 1.5x ATR = 5.04, but stop_loss_percent must be 0.45% as per floor? Actually ATR% = (3.36/1111.5)*100 = 0.302%, so 1.5x ATR% = 0.45%. Target must be >= 1.9x SL = 0.86%. Using 0.94% target. Confidence set to 65 due to past overconfidence and mixed analog results. | Kronos: ratio=0.97 CONFLICT range=0.43%",-6.50,LIVE,NEUTRAL,NIFTY PHARMA=BULLISH,BEARISH,BEARISH,BEARISH,BUY,0.035,0
2026-07-01 09:51:20,ADANIGREEN,ENTRY-SHORT,SELL,1488.60,1495.00,1,1494.85,1494.81,1475.50,89,"Step 1 Viability: Price 1488.6 below VWAP 1491.67, RSI 43.48 > 30, ADX 27.13 > 22 -> SELL viable. BUY not viable (price below VWAP). Step 2 Volume: Volume spike 0.41, below 0.5 for trending but ADX>26, volume is thin but system applies penalty. Step 3 Candles: Last 5 candles show consistent move lower from 1497.40 to 1489.00, supporting SELL. Step 4 MTF: 3-min, 15-min, 1-hour all BEARISH, alignment supports SELL. Step 5 Kronos: Predicted range 0.23% (tight), keep stop at ATR floor. Step 6 Analog: 60% win rate, mixed but not strongly against SELL. Step 7 Risk: ATR=4.14, ATR%=0.278%, 1.5xATR=0.42% stop, target >= 1.9x stop = 0.8%. Set stop 0.42%, target 0.88% (2.1x). Confidence advisory 70 due to thin volume and past overconfidence, but direction is clear SELL. | Kronos: ratio=1.28 ALIGN range=0.23%",-6.40,LIVE,NEUTRAL,NIFTY ENERGY=NEUTRAL,BEARISH,BEARISH,BEARISH,SELL,-0.081,1
2026-07-01 10:43:02,DMART,TRAILING-SL,SELL,4246.20,4252.70,1,4265.73,4265.82,4205.44,83,"Step 1: Viability - Price 4246.2 is below VWAP 4250.18, RSI 42.31 > 30, ADX 32.88 > 22. All SELL viability rules pass. BUY rules fail because price is not above VWAP. Step 2: Volume - Volume spike 1.02 is above 0.5, adequate for trending move. Step 3: Candles - Last 5 candles show consistent downward movement from 4261.70 to 4247.30, aligning with SELL direction. Step 4: MTF - 15-min and 1-hour trends are BEARISH, supporting SELL. Step 5: Kronos - Forecast range 0.28% is moderate, not extremely tight or wide; use standard risk levels. Step 6: Analog - Similar setups have poor win rate (20%) and negative avg P&L, suggesting caution. Step 7: Risk levels - ATR is 13.08, ATR% = 13.08/4246.2 = 0.308%. Stop loss = 1.5 * 0.308% = 0.46%. Target must be >= 1.9 * 0.46% = 0.87%. Set target at 0.96% to meet floor. Confidence lowered to 65 due to analog warning and past overconfidence issues. | Analog WR 20% < 35% (-10) | Kronos: ratio=0.90 CONFLICT range=0.28%",-6.50,LIVE,NEUTRAL,NIFTY FMCG=NEUTRAL,BEARISH,BEARISH,BEARISH,BUY,0.077,0
2026-07-01 10:48:58,ASTRAL,ENTRY-SHORT,SELL,1343.90,1352.90,1,1349.81,1349.80,1332.61,94,"Step 1 Viability: Price 1343.9 below VWAP 1352.31, RSI 46.56 > 30, ADX 25.54 > 22 -> SELL viable. BUY not viable (price below VWAP). Step 2 Volume: volume spike 0.56, trending context with ADX>22 but not >26, volume adequate. Step 3 Candles: last 5 candles show slight upward drift (+0.03%) but overall bearish structure with lower highs, not strongly contradicting SELL. Step 4 MTF: 3-min, 15-min, 1-hour all bearish, aligning with SELL. Step 5 Kronos: forecast range 0.37% (moderate), predicted slight decline, supports SELL. Step 6 Analog: 60% win rate, mixed but not strongly negative. Step 7 Risk: ATR 3.93, ATR% = 3.93/1343.9 = 0.292%, stop_loss_percent = 1.5 * 0.292% = 0.44%, target_percent = 1.9 * 0.44% = 0.84%. Past performance shows overconfidence, so confidence set to 65 reflecting moderate conviction. | Kronos: ratio=1.33 ALIGN range=0.37%",-9.00,LIVE,NEUTRAL,NIFTY CONSUMER DURABLES=NEUTRAL,BEARISH,BEARISH,BEARISH,SELL,-0.151,1
2026-07-01 11:13:15,DIVISLAB,ENTRY-SHORT,SELL,6557.00,,1,6574.70,6574.91,6520.28,95,"Step 1: Viability - Price 6545.50 is below VWAP 6577.6, RSI 35.6 > 30, ADX 55.88 > 22. All SELL viability rules pass. BUY rules fail (price not above VWAP). Direction is SELL. Step 2: Volume - Latest volume 73505 vs 20-period avg 1950.6 gives spike 0.92, below 1.2 but above 0.5; trending ADX>26, so volume is adequate. Step 3: Candles - Last 5 candles show slight upward drift (+0.11%) but overall price remains below VWAP and SMA20, not contradicting SELL. Step 4: MTF - 3-min, 15-min, 1-hour all bearish, supporting SELL. Step 5: Kronos - Forecast range 0.20% is tight, suggesting limited movement; keep stop tight. Step 6: Analog - 5/5 similar SELL setups won, boosting confidence. Step 7: Risk levels - ATR 11.94 gives ATR% 0.182%, 1.5x ATR = 0.27% stop loss. Target >= 1.9x stop = 0.51%. Set target 0.56% to exceed floor. Past performance shows overconfidence; confidence set to 75 reflecting viable but not perfect setup. | Analog WR 100% >= 65% (+5) | Last 3 candles against signal (-8) | Kronos: ratio=1.42 ALIGN range=0.20%",,LIVE,NEUTRAL,NIFTY PHARMA=NEUTRAL,BEARISH,BEARISH,BEARISH,SELL,-0.090,1
2026-07-01 11:49:24,TATAMOTORS,ENTRY-SHORT,SELL,424.30,426.00,1,428.54,425.79,412.29,91,"Step 1 Viability: Price 423.95 is below VWAP 427.94, RSI 36.8 > 30, ADX 27.2 > 22. All SELL viability rules pass. BUY rules fail because price is below VWAP. Step 2 Volume: Volume spike 1.2x, adequate for a SELL. Step 3 Candles: Last 5 candles show a slight downtrend from 424.40 to 423.95, moving with the SELL direction. Step 4 MTF: 3-min, 15-min, 1-hour all bearish, supporting SELL. Step 5 Kronos: Forecast range 0.27% is moderate, not extremely tight or wide, so risk levels based on ATR. Step 6 Analog: Similar setups have poor win rate (20%), but system applies penalty; I still output SELL as viability passes. Step 7 Risk: ATR=0.99, 1.5xATR=1.485%, stop_loss_percent=1.49. Target must be >=1.9x1.49=2.83%. Set target_percent=2.83. Confidence advisory: Given analog warning and past overconfidence, I lower confidence to 65, but direction remains SELL. | Analog WR 20% < 35% (-10) | Kronos: ratio=1.03 ALIGN range=0.27%",-1.70,LIVE,NEUTRAL,NIFTY AUTO=NEUTRAL,BEARISH,BEARISH,BEARISH,SELL,-0.007,1
2026-07-01 13:19:29,ICICIPRULI,ENTRY-SHORT,SELL,489.65,491.37,3,490.87,490.61,487.10,90,"Step 1 Viability: Price 489.65 is below VWAP 490.35, RSI 44.26 > 30, ADX 40.43 > 22 -> SELL viable. BUY not viable because price below VWAP. Step 2 Volume: Volume spike 0.89, trending ADX>26, volume adequate. Step 3 Candles: Last 5 candles show slight upward drift but latest candle bearish, overall not strongly against SELL. Step 4 MTF: All timeframes bearish, supporting SELL. Step 5 Kronos: Forecast range 0.26% (tight), keep stop tight. Step 6 Analog: 60% win rate but avg P&L negative, some caution. Step 7 Risk: ATR 0.64, 1.5x ATR = 0.96% stop, target >= 1.9x stop = 1.82%. Using ATR% = 0.64/489.65*100 = 0.131%, 1.5x = 0.196%, target 0.48% floor. Set stop 0.25%, target 0.52% as per example but adjusted for ATR. Confidence 70 due to mixed analog and past poor performance. | Last 3 candles against signal (-8) | Kronos: ratio=1.72 ALIGN range=0.26%",-5.15,LIVE,NEUTRAL,NIFTY FINANCIAL SERVICES=NEUTRAL,BEARISH,BEARISH,BEARISH,SELL,-0.133,1
2026-07-01 13:19:35,MPHASIS,TRAILING-SL,SELL,2137.00,2138.40,1,2142.34,2142.34,2126.74,85,"Step 1 Viability: Price 2137.0 is below VWAP 2154.97, RSI 41.08 > 30, ADX 33.98 > 22. All SELL viability rules pass. BUY rules fail because price is below VWAP. Step 2 Volume: Volume spike 1.19x, adequate for a trending move. Step 3 Candles: Last 5 candles show a slight downward drift, consistent with SELL direction. Step 4 MTF: 3-min, 15-min, and 1-hour all bearish, supporting SELL. Step 5 Kronos: Forecasts a small up move (+0.39%) over 30 min, but primary rules override; tight range (0.42%) suggests keeping stop tight. Step 6 Analog: 40% win rate with avg loss, but similar SELL setups exist; confidence lowered due to poor historical AI performance. Step 7 Risk: ATR 3.56 gives ATR% = 3.56/2137 = 0.167%. Stop loss = 1.5 * 0.167% = 0.25%. Target = 1.9 * 0.25% = 0.475%, rounded to 0.48%. Setup type: MOMENTUM as price is trending below VWAP with strong ADX. | Last 3 candles against signal (-8) | Kronos: ratio=0.50 CONFLICT range=0.42%",-1.40,LIVE,NEUTRAL,NIFTY IT=NEUTRAL,BEARISH,BEARISH,BEARISH,BUY,0.258,0
