timestamp,symbol,signal_type,direction,entry_price,exit_price,quantity,stop_loss,trailing_stop,target,confidence,reasoning,pnl,mode,market_regime,sector_regime,mtf_3m,mtf_15m,mtf_1h,kronos_direction,kronos_pred_return,kronos_aligned,ofi,ofi_trend
2026-07-10 10:20:17,ADANIENT,ENTRY-LONG,BUY,3163.90,,31,3130.64,,,80,s22 gap-and-go: gap=+0.88% still-extended at 10:15 (close 3163.90 vs open 3105.00); SL=3xATR(11.09); hold-to-close. Holdout-validated PF 1.10.,,LIVE-S22,,,,,,,,,,
2026-07-10 10:20:44,MUTHOOTFIN,ENTRY-LONG,BUY,3119.50,,32,3090.55,,,80,s22 gap-and-go: gap=+1.47% still-extended at 10:15 (close 3123.20 vs open 3096.00); SL=3xATR(9.65); hold-to-close. Holdout-validated PF 1.10.,,LIVE-S22,,,,,,,,,,
2026-07-10 10:20:58,BHEL,ENTRY-LONG,BUY,392.60,,254,387.19,,,80,s22 gap-and-go: gap=+1.77% still-extended at 10:15 (close 392.50 vs open 388.90); SL=3xATR(1.80); hold-to-close. Holdout-validated PF 1.10.,,LIVE-S22,,,,,,,,,,
2026-07-10 10:21:04,VEDL,ENTRY-LONG,BUY,275.85,,362,272.83,,,80,s22 gap-and-go: gap=+0.90% still-extended at 10:15 (close 275.65 vs open 273.80); SL=3xATR(1.01); hold-to-close. Holdout-validated PF 1.10.,,LIVE-S22,,,,,,,,,,
2026-07-10 10:21:24,ADANIENT,ENTRY-LONG,BUY,3162.10,,31,,,,80,s22-overnight BTST: gap=+0.88% extended at 10:15; CNC hold to next open (PF 1.23/1.52).,,LIVE-S22ON,,,,,,,,,,
2026-07-10 10:21:26,MUTHOOTFIN,ENTRY-LONG,BUY,3119.70,,32,,,,80,s22-overnight BTST: gap=+1.47% extended at 10:15; CNC hold to next open (PF 1.23/1.52).,,LIVE-S22ON,,,,,,,,,,
2026-07-10 10:21:27,BHEL,ENTRY-LONG,BUY,392.40,,254,,,,80,s22-overnight BTST: gap=+1.77% extended at 10:15; CNC hold to next open (PF 1.23/1.52).,,LIVE-S22ON,,,,,,,,,,
2026-07-10 10:21:29,VEDL,ENTRY-LONG,BUY,275.90,,362,,,,80,s22-overnight BTST: gap=+0.90% extended at 10:15; CNC hold to next open (PF 1.23/1.52).,,LIVE-S22ON,,,,,,,,,,
2026-07-10 11:55:11,BRITANNIA,TRAILING-SL,SELL,5360.00,5349.50,1,5373.40,5369.54,5334.27,92,"Step 1: Price 5360.0 is below VWAP 5381.97, RSI 35.55 > 30, ADX 26.84 > 22 -> SELL viable. BUY not viable (price below VWAP). Step 2: Volume spike 2.42x supports breakout. Step 3: Last 5 candles show bearish movement with lower highs and lower lows, consistent with SELL. Step 4: MTF all bearish on 3-min, 15-min, 1-hour. Step 5: Kronos predicts slight downside (-0.13%) with tight range (0.21%), suggesting limited move; keep stop tight. Step 6: Analog win rate 40% with mixed results, but recent losers had higher confidence; I lower my confidence to 72. Step 7: ATR 6.36 -> 1.5x ATR = 9.54 points -> stop_loss_percent = 9.54/5360 = 0.178%, target_percent = 1.9x 0.178% = 0.338%, but floor 0.48% so target = 0.48%. | Kronos: ratio=2.01 ALIGN range=0.21%",10.50,LIVE,NEUTRAL,NIFTY FMCG=NEUTRAL,BEARISH,BEARISH,BEARISH,SELL,-0.123,1,-0.3430,0.1848
2026-07-10 11:55:15,PFC,ENTRY-SHORT,SELL,405.70,,3,407.49,406.40,400.22,82,"Step 1 Viability: Price 404.85 below VWAP 407.61, RSI 37.42 > 30, ADX 45.33 > 22 -> SELL viable. BUY not viable (price below VWAP). Step 2 Volume: volume spike 0.53, trending ADX>26, volume adequate. Step 3 Candles: last 5 candles show slight upward drift (+0.15%) but within tight range, not strongly against SELL. Step 4 MTF: 3-min, 15-min, 1-hour all bearish, supporting SELL. Step 5 Kronos: predicted range 0.12% tight, keep stop at ATR floor. Step 6 Analog: 60% win rate, mixed results, but no strong contraindication. Step 7 Risk: ATR=0.47, 1.5xATR=0.705, stop_loss_percent=0.71, target_percent=1.9*0.71=1.35. Past performance shows overconfidence, so confidence set to 72 reflecting decent but not perfect setup. | Last 3 candles against signal (-8) | Kronos: ratio=1.14 ALIGN range=0.12%",,LIVE,NEUTRAL,NIFTY FINANCIAL SERVICES=NEUTRAL,BEARISH,BULLISH,BEARISH,SELL,-0.019,1,-0.3778,-0.2973
